,0
0,0.0
1,4e-07
2,8.000000000000002e-07
3,1.2e-06
4,1.6e-06
5,1.9999999999999995e-06
6,2.4e-06
7,2.8e-06
8,3.1999999999999994e-06
9,3.5999999999999994e-06
10,3.999999999999999e-06
11,4.399999999999999e-06
12,4.8e-06
13,5.199999999999999e-06
14,5.599999999999999e-06
15,5.999999999999999e-06
16,6.399999999999999e-06
17,6.799999999999999e-06
18,7.199999999999999e-06
19,7.599999999999999e-06
20,7.999999999999998e-06
21,8.399999999999998e-06
22,8.799999999999999e-06
23,9.199999999999998e-06
24,9.6e-06
25,9.999999999999999e-06
26,1.0399999999999999e-05
27,1.0799999999999998e-05
28,1.1199999999999998e-05
29,1.1599999999999997e-05
30,1.1999999999999997e-05
31,1.2399999999999996e-05
32,1.2799999999999996e-05
33,1.3199999999999996e-05
34,1.3599999999999997e-05
35,1.3999999999999996e-05
36,1.4399999999999996e-05
37,1.4799999999999996e-05
38,1.5199999999999997e-05
39,1.5599999999999996e-05
40,1.5999999999999996e-05
41,1.6400000000000006e-05
42,1.6800000000000002e-05
43,1.7199999999999998e-05
44,1.76e-05
45,1.8000000000000004e-05
46,1.84e-05
47,1.8800000000000003e-05
48,1.92e-05
49,1.9600000000000002e-05
50,2.0000000000000005e-05
51,2.04e-05
52,2.0799999999999997e-05
53,2.12e-05
54,2.1600000000000003e-05
55,2.2e-05
56,2.2400000000000002e-05
57,2.2800000000000005e-05
58,2.32e-05
59,2.3599999999999998e-05
60,2.4e-05
61,2.4400000000000004e-05
62,2.48e-05
63,2.5200000000000003e-05
64,2.56e-05
65,2.6000000000000002e-05
66,2.6400000000000005e-05
67,2.68e-05
68,2.7199999999999997e-05
69,2.76e-05
70,2.8000000000000003e-05
71,2.84e-05
72,2.8800000000000002e-05
73,2.9199999999999998e-05
74,2.96e-05
75,2.9999999999999997e-05
76,3.04e-05
77,3.0799999999999996e-05
78,3.12e-05
79,3.16e-05
80,3.2e-05
81,3.2399999999999995e-05
82,3.2800000000000004e-05
83,3.32e-05
84,3.36e-05
85,3.4e-05
86,3.44e-05
87,3.48e-05
88,3.52e-05
89,3.56e-05
90,3.6e-05
91,3.6400000000000004e-05
92,3.68e-05
93,3.7199999999999996e-05
94,3.7600000000000006e-05
95,3.8e-05
96,3.84e-05
97,3.8799999999999994e-05
98,3.9200000000000004e-05
99,3.96e-05
100,3.9999999999999996e-05
101,4.039999999999999e-05
102,4.08e-05
103,4.12e-05
104,4.1599999999999995e-05
105,4.2e-05
106,4.24e-05
107,4.28e-05
108,4.319999999999999e-05
109,4.3599999999999996e-05
110,4.4e-05
111,4.4399999999999995e-05
112,4.48e-05
113,4.52e-05
114,4.56e-05
115,4.599999999999999e-05
116,4.6399999999999996e-05
117,4.68e-05
118,4.7199999999999995e-05
119,4.759999999999999e-05
120,4.8e-05
121,4.84e-05
122,4.8799999999999994e-05
123,4.9199999999999997e-05
124,4.96e-05
125,4.9999999999999996e-05
126,5.04e-05
127,5.0799999999999995e-05
128,5.12e-05
129,5.1599999999999994e-05
130,5.2e-05
131,5.24e-05
132,5.2799999999999996e-05
133,5.319999999999999e-05
134,5.3599999999999995e-05
135,5.4e-05
136,5.4399999999999994e-05
137,5.48e-05
138,5.519999999999999e-05
139,5.5599999999999996e-05
140,5.599999999999999e-05
141,5.6399999999999995e-05
142,5.68e-05
143,5.7199999999999994e-05
144,5.76e-05
145,5.7999999999999994e-05
146,5.8399999999999997e-05
147,5.879999999999999e-05
148,5.9199999999999996e-05
149,5.96e-05
150,5.9999999999999995e-05
151,6.04e-05
152,6.0799999999999994e-05
153,6.12e-05
154,6.159999999999999e-05
155,6.199999999999999e-05
156,6.24e-05
157,6.28e-05
158,6.319999999999999e-05
159,6.36e-05
160,6.4e-05
161,6.44e-05
162,6.479999999999999e-05
163,6.52e-05
164,6.56e-05
165,6.6e-05
166,6.64e-05
167,6.68e-05
168,6.720000000000001e-05
169,6.759999999999999e-05
170,6.8e-05
171,6.84e-05
172,6.879999999999999e-05
173,6.92e-05
174,6.96e-05
175,7e-05
176,7.04e-05
177,7.08e-05
178,7.12e-05
179,7.16e-05
180,7.2e-05
181,7.24e-05
182,7.280000000000001e-05
183,7.319999999999999e-05
184,7.36e-05
185,7.4e-05
186,7.439999999999999e-05
187,7.48e-05
188,7.52e-05
189,7.56e-05
190,7.6e-05
191,7.639999999999999e-05
192,7.68e-05
193,7.72e-05
194,7.759999999999999e-05
195,7.8e-05
196,7.840000000000001e-05
197,7.879999999999999e-05
198,7.92e-05
199,7.96e-05
200,7.999999999999999e-05
201,8.04e-05
202,8.08e-05
203,8.12e-05
204,8.16e-05
205,8.2e-05
206,8.24e-05
207,8.28e-05
208,8.319999999999999e-05
209,8.36e-05
210,8.4e-05
211,8.439999999999999e-05
212,8.48e-05
213,8.52e-05
214,8.56e-05
215,8.6e-05
216,8.639999999999999e-05
217,8.68e-05
218,8.719999999999999e-05
219,8.759999999999999e-05
220,8.8e-05
221,8.84e-05
222,8.879999999999999e-05
223,8.92e-05
224,8.96e-05
225,8.999999999999999e-05
226,9.04e-05
227,9.08e-05
228,9.12e-05
229,9.159999999999999e-05
230,9.2e-05
231,9.24e-05
232,9.279999999999999e-05
233,9.319999999999999e-05
234,9.36e-05
235,9.4e-05
236,9.439999999999999e-05
237,9.48e-05
238,9.52e-05
239,9.559999999999999e-05
240,9.599999999999999e-05
241,9.64e-05
242,9.68e-05
243,9.719999999999999e-05
244,9.759999999999999e-05
245,9.8e-05
246,9.839999999999999e-05
247,9.879999999999999e-05
248,9.92e-05
249,9.96e-05
250,9.999999999999999e-05
251,0.0001004
252,0.0001008
253,0.0001012
254,0.00010159999999999999
255,0.000102
256,0.0001024
257,0.00010279999999999999
258,0.00010319999999999999
259,0.0001036
260,0.000104
261,0.00010439999999999999
262,0.0001048
263,0.0001052
264,0.00010559999999999999
265,0.00010599999999999999
266,0.0001064
267,0.0001068
268,0.00010719999999999999
269,0.00010759999999999999
270,0.000108
271,0.00010839999999999999
272,0.00010879999999999999
273,0.0001092
274,0.0001096
275,0.00010999999999999999
276,0.00011039999999999999
277,0.0001108
278,0.00011119999999999999
279,0.00011159999999999999
280,0.000112
281,0.0001124
282,0.00011279999999999999
283,0.00011319999999999999
284,0.0001136
285,0.00011399999999999998
286,0.00011439999999999999
287,0.00011479999999999997
288,0.00011519999999999998
289,0.00011559999999999998
290,0.00011599999999999997
291,0.00011639999999999998
292,0.00011679999999999998
293,0.00011719999999999998
294,0.00011759999999999999
295,0.00011799999999999998
296,0.00011839999999999998
297,0.00011879999999999999
298,0.00011919999999999998
299,0.00011959999999999998
300,0.00011999999999999998
301,0.00012039999999999997
302,0.00012079999999999998
303,0.00012119999999999999
304,0.00012159999999999997
305,0.00012199999999999998
306,0.0001224
307,0.00012279999999999998
308,0.00012319999999999999
309,0.00012359999999999997
310,0.00012399999999999998
311,0.0001244
312,0.0001248
313,0.00012519999999999998
314,0.00012559999999999996
315,0.00012599999999999997
316,0.00012639999999999998
317,0.0001268
318,0.00012719999999999997
319,0.00012759999999999998
320,0.00012799999999999997
321,0.00012839999999999998
322,0.0001288
323,0.0001292
324,0.00012959999999999998
325,0.00012999999999999996
326,0.00013039999999999997
327,0.00013079999999999998
328,0.0001312
329,0.00013159999999999997
330,0.00013199999999999998
331,0.00013239999999999997
332,0.00013279999999999998
333,0.00013319999999999999
334,0.0001336
335,0.00013399999999999998
336,0.0001344
337,0.00013479999999999997
338,0.00013519999999999998
339,0.0001356
340,0.00013599999999999997
341,0.00013639999999999998
342,0.0001368
343,0.00013719999999999997
344,0.00013759999999999998
345,0.00013799999999999997
346,0.00013839999999999998
347,0.00013879999999999999
348,0.00013919999999999997
349,0.00013959999999999998
350,0.00014
351,0.00014039999999999997
352,0.00014079999999999998
353,0.0001412
354,0.00014159999999999997
355,0.00014199999999999998
356,0.0001424
357,0.00014279999999999997
358,0.00014319999999999998
359,0.00014359999999999997
360,0.00014399999999999998
361,0.00014439999999999999
362,0.00014479999999999997
363,0.00014519999999999998
364,0.0001456
365,0.00014599999999999997
366,0.00014639999999999998
367,0.0001468
368,0.00014719999999999997
369,0.00014759999999999998
370,0.00014799999999999997
371,0.00014839999999999998
372,0.00014879999999999998
373,0.00014919999999999997
374,0.00014959999999999998
375,0.00015
376,0.00015039999999999997
377,0.00015079999999999998
378,0.0001512
379,0.00015159999999999997
380,0.00015199999999999998
381,0.0001524
382,0.00015279999999999997
383,0.00015319999999999998
384,0.00015359999999999997
385,0.00015399999999999998
386,0.00015439999999999999
387,0.00015479999999999997
388,0.00015519999999999998
389,0.0001556
390,0.00015599999999999997
391,0.00015639999999999998
392,0.0001568
393,0.00015719999999999997
394,0.00015759999999999998
395,0.000158
396,0.00015839999999999997
397,0.00015879999999999998
398,0.00015919999999999997
399,0.00015959999999999998
400,0.00015999999999999999
401,0.00016039999999999997
402,0.00016079999999999998
403,0.0001612
404,0.00016159999999999997
405,0.00016199999999999998
406,0.0001624
407,0.00016280000000000022
408,0.00016320000000000017
409,0.00016360000000000018
410,0.00016400000000000014
411,0.00016440000000000015
412,0.00016480000000000016
413,0.00016520000000000017
414,0.00016560000000000018
415,0.00016600000000000013
416,0.0001664000000000002
417,0.00016680000000000015
418,0.00016720000000000016
419,0.00016760000000000017
420,0.00016800000000000013
421,0.0001684000000000002
422,0.00016880000000000015
423,0.00016920000000000016
424,0.00016960000000000017
425,0.00017000000000000017
426,0.00017040000000000018
427,0.00017080000000000014
428,0.00017120000000000015
429,0.00017160000000000016
430,0.00017200000000000017
431,0.00017240000000000018
432,0.00017280000000000013
433,0.00017320000000000014
434,0.0001736000000000002
435,0.00017400000000000016
436,0.00017440000000000017
437,0.00017480000000000013
438,0.00017520000000000014
439,0.0001756000000000002
440,0.00017600000000000016
441,0.00017640000000000017
442,0.00017680000000000012
443,0.0001772000000000002
444,0.00017760000000000014
445,0.00017800000000000015
446,0.00017840000000000016
447,0.00017880000000000017
448,0.00017920000000000018
449,0.00017960000000000014
450,0.00018000000000000015
451,0.00018040000000000016
452,0.00018080000000000017
453,0.00018120000000000018
454,0.00018160000000000013
455,0.00018200000000000014
456,0.0001824000000000002
457,0.00018280000000000016
458,0.00018320000000000017
459,0.00018360000000000013
460,0.00018400000000000014
461,0.0001844000000000002
462,0.00018480000000000016
463,0.00018520000000000016
464,0.00018560000000000012
465,0.00018600000000000018
466,0.0001864000000000002
467,0.00018680000000000015
468,0.00018720000000000016
469,0.00018760000000000011
470,0.00018800000000000018
471,0.0001884000000000002
472,0.00018880000000000014
473,0.00018920000000000015
474,0.00018960000000000016
475,0.00019000000000000017
476,0.00019040000000000013
477,0.00019080000000000014
478,0.00019120000000000015
479,0.00019160000000000016
480,0.00019200000000000017
481,0.00019240000000000012
482,0.00019280000000000013
483,0.0001932000000000002
484,0.00019360000000000015
485,0.00019400000000000016
486,0.00019440000000000012
487,0.00019480000000000018
488,0.0001952000000000002
489,0.00019560000000000015
490,0.00019600000000000016
491,0.0001964000000000001
492,0.00019680000000000018
493,0.00019720000000000019
494,0.00019760000000000014
495,0.00019800000000000015
496,0.00019840000000000016
497,0.00019880000000000017
498,0.00019920000000000018
499,0.00019960000000000014
500,0.00020000000000000015
501,0.00020040000000000015
502,0.00020080000000000016
503,0.00020120000000000017
504,0.00020160000000000013
505,0.0002020000000000002
506,0.00020240000000000015
507,0.00020280000000000016
508,0.00020320000000000011
509,0.00020360000000000012
510,0.0002040000000000002
511,0.00020440000000000014
512,0.00020480000000000015
513,0.0002052000000000001
514,0.00020560000000000017
515,0.00020600000000000018
516,0.00020640000000000014
517,0.00020680000000000015
518,0.0002072000000000001
519,0.00020760000000000017
520,0.00020800000000000018
521,0.00020840000000000013
522,0.00020880000000000014
523,0.00020920000000000015
524,0.00020960000000000016
525,0.00021000000000000017
526,0.00021040000000000013
527,0.0002108000000000002
528,0.00021120000000000015
529,0.00021160000000000016
530,0.00021200000000000017
531,0.00021240000000000012
532,0.00021280000000000019
533,0.00021320000000000014
534,0.00021360000000000015
535,0.00021400000000000016
536,0.00021440000000000017
537,0.00021480000000000018
538,0.00021520000000000014
539,0.00021560000000000014
540,0.0002160000000000001
541,0.00021640000000000016
542,0.00021680000000000017
543,0.00021720000000000013
544,0.00021760000000000014
545,0.00021800000000000015
546,0.00021840000000000016
547,0.00021880000000000017
548,0.00021920000000000012
549,0.00021960000000000013
550,0.00022000000000000014
551,0.00022040000000000015
552,0.00022080000000000016
553,0.00022120000000000012
554,0.00022160000000000018
555,0.00022200000000000014
556,0.00022240000000000015
557,0.00022280000000000016
558,0.0002232000000000001
559,0.00022360000000000018
560,0.00022400000000000013
561,0.00022440000000000014
562,0.00022480000000000015
563,0.00022520000000000016
564,0.00022560000000000017
565,0.00022600000000000013
566,0.00022640000000000014
567,0.00022680000000000015
568,0.00022720000000000016
569,0.00022760000000000017
570,0.00022800000000000012
571,0.00022840000000000013
572,0.00022880000000000014
573,0.00022920000000000015
574,0.00022960000000000016
575,0.00023000000000000012
576,0.00023040000000000018
577,0.00023080000000000013
578,0.00023120000000000014
579,0.00023160000000000015
580,0.0002320000000000001
581,0.00023240000000000017
582,0.00023280000000000013
583,0.00023320000000000014
584,0.00023360000000000015
585,0.00023400000000000016
586,0.00023440000000000017
587,0.00023480000000000012
588,0.00023520000000000013
589,0.00023560000000000014
590,0.00023600000000000015
591,0.00023640000000000016
592,0.00023680000000000012
593,0.00023720000000000013
594,0.0002376000000000002
595,0.00023800000000000015
596,0.00023840000000000016
597,0.0002388000000000001
598,0.00023920000000000012
599,0.00023960000000000019
600,0.00024000000000000014
601,0.00024040000000000015
602,0.0002408000000000001
603,0.00024120000000000017
604,0.00024160000000000013
605,0.00024200000000000014
606,0.00024240000000000015
607,0.0002428000000000001
608,0.00024320000000000017
609,0.00024360000000000012
610,0.00024400000000000013
611,0.00024440000000000014
612,0.00024480000000000015
613,0.00024520000000000016
614,0.0002456000000000001
615,0.0002460000000000001
616,0.0002464000000000002
617,0.00024680000000000014
618,0.00024720000000000015
619,0.0002476000000000001
620,0.0002480000000000001
621,0.0002484000000000002
622,0.00024880000000000014
623,0.00024920000000000015
624,0.0002496000000000001
625,0.00025000000000000017
626,0.0002504000000000002
627,0.00025080000000000013
628,0.00025120000000000014
629,0.0002516000000000001
630,0.00025200000000000016
631,0.00025240000000000017
632,0.00025280000000000013
633,0.00025320000000000014
634,0.00025360000000000015
635,0.00025400000000000016
636,0.0002544000000000001
637,0.0002548000000000001
638,0.00025520000000000013
639,0.00025560000000000014
640,0.00025600000000000015
641,0.0002564000000000001
642,0.0002568000000000001
643,0.0002572000000000002
644,0.00025760000000000014
645,0.00025800000000000015
646,0.0002584000000000001
647,0.0002588000000000001
648,0.0002592000000000002
649,0.00025960000000000013
650,0.00026000000000000014
651,0.0002604000000000001
652,0.00026080000000000016
653,0.00026120000000000017
654,0.0002616000000000001
655,0.00026200000000000013
656,0.00026240000000000014
657,0.00026280000000000015
658,0.00026320000000000016
659,0.0002636000000000001
660,0.00026400000000000013
661,0.00026440000000000014
662,0.00026480000000000015
663,0.00026520000000000016
664,0.0002656000000000001
665,0.0002660000000000002
666,0.00026640000000000013
667,0.00026680000000000014
668,0.0002672000000000001
669,0.0002676000000000001
670,0.00026800000000000017
671,0.00026840000000000013
672,0.00026880000000000014
673,0.0002692000000000001
674,0.00026960000000000016
675,0.00027000000000000017
676,0.0002704000000000001
677,0.00027080000000000013
678,0.0002712000000000001
679,0.00027160000000000015
680,0.00027200000000000016
681,0.0002724000000000001
682,0.0002728000000000001
683,0.00027320000000000014
684,0.00027360000000000015
685,0.00027400000000000015
686,0.0002744000000000001
687,0.0002748000000000001
688,0.00027520000000000013
689,0.00027560000000000014
690,0.00027600000000000015
691,0.0002764000000000001
692,0.00027680000000000017
693,0.0002772000000000001
694,0.00027760000000000013
695,0.00027800000000000014
696,0.00027840000000000015
697,0.00027880000000000016
698,0.0002792000000000001
699,0.00027960000000000013
700,0.0002800000000000001
701,0.00028040000000000015
702,0.00028080000000000016
703,0.0002812000000000001
704,0.0002816000000000001
705,0.00028200000000000013
706,0.00028240000000000014
707,0.00028280000000000015
708,0.0002832000000000001
709,0.0002836000000000001
710,0.0002840000000000001
711,0.00028440000000000014
712,0.00028480000000000015
713,0.0002852000000000001
714,0.00028560000000000017
715,0.0002860000000000001
716,0.00028640000000000013
717,0.00028680000000000014
718,0.0002872000000000001
719,0.00028760000000000016
720,0.0002880000000000001
721,0.0002884000000000001
722,0.00028880000000000014
723,0.00028920000000000014
724,0.00028960000000000015
725,0.0002900000000000001
726,0.0002904000000000001
727,0.00029080000000000013
728,0.00029120000000000014
729,0.00029160000000000015
730,0.0002920000000000001
731,0.0002924000000000001
732,0.0002928000000000001
733,0.00029320000000000013
734,0.00029360000000000014
735,0.0002940000000000001
736,0.00029440000000000016
737,0.0002948000000000001
738,0.00029520000000000013
739,0.00029560000000000014
740,0.0002960000000000001
741,0.00029640000000000016
742,0.0002968000000000001
743,0.0002972000000000001
744,0.00029760000000000013
745,0.00029800000000000014
746,0.00029840000000000015
747,0.0002988000000000001
748,0.0002992000000000001
749,0.0002996000000000001
750,0.00030000000000000014
751,0.00030040000000000015
752,0.0003008000000000001
753,0.0003012000000000001
754,0.0003016000000000002
755,0.00030200000000000013
756,0.00030240000000000014
757,0.0003028000000000001
758,0.0003032000000000001
759,0.00030360000000000017
760,0.0003040000000000001
761,0.00030440000000000013
762,0.0003048000000000001
763,0.00030520000000000015
764,0.00030560000000000016
765,0.0003060000000000001
766,0.00030640000000000013
767,0.0003068000000000001
768,0.00030720000000000015
769,0.0003076000000000001
770,0.0003080000000000001
771,0.0003084000000000001
772,0.00030880000000000013
773,0.00030920000000000014
774,0.0003096000000000001
775,0.0003100000000000001
776,0.00031040000000000017
777,0.00031080000000000013
778,0.00031120000000000014
779,0.0003116000000000001
780,0.0003120000000000001
781,0.00031240000000000017
782,0.0003128000000000001
783,0.00031320000000000013
784,0.0003136000000000001
785,0.00031400000000000015
786,0.00031440000000000016
787,0.0003148000000000001
788,0.0003152000000000001
789,0.0003156000000000001
790,0.00031600000000000015
791,0.00031640000000000016
792,0.0003168000000000001
793,0.0003172000000000001
794,0.00031760000000000013
795,0.00031800000000000014
796,0.00031840000000000015
797,0.0003188000000000001
798,0.0003192000000000001
799,0.0003196000000000001
800,0.00032000000000000013
801,0.0003204000000000001
802,0.0003208000000000001
803,0.00032120000000000016
804,0.0003216000000000001
805,0.00032200000000000013
806,0.0003224000000000001
807,0.0003228000000000001
808,0.00032320000000000016
809,0.0003236000000000001
810,0.0003240000000000001
811,0.0003244000000000001
812,0.00032480000000000014
813,0.00032520000000000015
814,0.0003256000000000001
815,0.0003260000000000001
816,0.00032640000000000013
817,0.00032680000000000014
818,0.00032720000000000015
819,0.0003276000000000001
820,0.0003280000000000001
821,0.0003284000000000001
822,0.00032880000000000013
823,0.00032920000000000014
824,0.0003296000000000001
825,0.00033000000000000016
826,0.0003304000000000001
827,0.0003308000000000001
828,0.00033120000000000014
829,0.0003316000000000001
830,0.00033200000000000016
831,0.0003324000000000001
832,0.0003328000000000001
833,0.0003332000000000001
834,0.00033360000000000014
835,0.00033400000000000015
836,0.0003344000000000001
837,0.0003348000000000001
838,0.00033520000000000007
839,0.00033560000000000013
840,0.00033600000000000014
841,0.0003364000000000001
842,0.0003368000000000001
843,0.0003372000000000001
844,0.00033760000000000013
845,0.00033800000000000014
846,0.0003384000000000001
847,0.0003388000000000001
848,0.0003392000000000001
849,0.0003396000000000001
850,0.00034000000000000013
851,0.0003404000000000001
852,0.00034080000000000015
853,0.0003412000000000001
854,0.0003416000000000001
855,0.00034200000000000013
856,0.0003424000000000001
857,0.00034280000000000015
858,0.0003432000000000001
859,0.0003436000000000001
860,0.0003440000000000001
861,0.00034440000000000013
862,0.00034480000000000014
863,0.0003452000000000001
864,0.0003456000000000001
865,0.0003460000000000001
866,0.0003464000000000001
867,0.00034680000000000014
868,0.0003472000000000001
869,0.0003476000000000001
870,0.0003480000000000001
871,0.0003484000000000001
872,0.00034880000000000013
873,0.0003492000000000001
874,0.00034960000000000015
875,0.0003500000000000001
876,0.0003504000000000001
877,0.0003508000000000001
878,0.0003512000000000001
879,0.00035160000000000014
880,0.0003520000000000001
881,0.0003524000000000001
882,0.0003528000000000001
883,0.00035320000000000013
884,0.00035360000000000014
885,0.0003540000000000001
886,0.0003544000000000001
887,0.0003548000000000001
888,0.0003552000000000001
889,0.00035560000000000013
890,0.0003560000000000001
891,0.0003564000000000001
892,0.00035680000000000016
893,0.0003572000000000001
894,0.0003576000000000001
895,0.0003580000000000001
896,0.0003584000000000001
897,0.0003588000000000001
898,0.0003592000000000001
899,0.0003596000000000001
900,0.0003600000000000001
901,0.00036040000000000014
902,0.0003608000000000001
903,0.0003612000000000001
904,0.0003616000000000001
905,0.0003620000000000001
906,0.00036240000000000014
907,0.0003628000000000001
908,0.0003632000000000001
909,0.0003636000000000001
910,0.0003640000000000001
911,0.00036440000000000013
912,0.0003648000000000001
913,0.0003652000000000001
914,0.00036560000000000016
915,0.0003660000000000001
916,0.0003664000000000001
917,0.0003668000000000001
918,0.0003672000000000001
919,0.00036760000000000015
920,0.0003680000000000001
921,0.0003684000000000001
922,0.0003688000000000001
923,0.00036920000000000014
