,0
0,0.0
1,1532.230913849945
2,3063.695903740173
3,4594.395352536532
4,6124.329642914041
5,7653.499157356544
6,9181.904278157454
7,10709.545387418355
8,12236.422867049543
9,13762.537098770095
10,15287.88846410787
11,16812.4773443995
12,18336.3041207904
13,19859.369174237334
14,21381.67288551259
15,22903.215635192522
16,24423.99780366227
17,25944.019771116236
18,27463.281917558037
19,28981.784622800533
20,30499.528266465815
21,32016.513227989846
22,33532.739886628326
23,35048.208621438396
24,36562.919811286665
25,38076.87383484971
26,39590.071070614074
27,41102.51189687629
28,42614.19669174286
29,44125.12583313547
30,45635.29969879585
31,47144.71866626781
32,48653.383112905496
33,50161.29341587378
34,51668.44995214826
35,53174.85309851527
36,54680.50323157187
37,56185.400727716755
38,57689.54596322093
39,59192.93931409456
40,60695.58115618689
41,62197.471865158164
42,63698.6118164797
43,65199.001385434014
44,66698.6409471149
45,68197.53087652745
46,69695.67154857604
47,71193.06333780725
48,72689.70661857628
49,74185.60176505032
50,75680.74915120877
51,77175.14915084338
52,78668.80213755822
53,80161.70848476986
54,81653.86856570747
55,83145.28275341289
56,84635.95142074076
57,86125.87494035858
58,87615.05368474685
59,89103.48802619906
60,90591.17833682199
61,92078.1249885356
62,93564.32835307324
63,95049.78880198175
64,96534.5067066215
65,98018.4824381665
66,99501.71636760455
67,100984.2088657373
68,102465.96030318036
69,103946.97105036334
70,105427.24147753004
71,106906.77195473849
72,108385.56285186108
73,109863.6145385846
74,111340.9273844104
75,112817.50175865449
76,114293.33803044756
77,115768.43656873515
78,117242.79774227773
79,118716.42191965082
80,120189.30946924501
81,121661.46075926615
82,123132.87615773539
83,124603.5560324893
84,126073.50075117996
85,127542.71068127506
86,129011.18619005801
87,130478.92764462801
88,131945.93541190017
89,133412.20985860558
90,134877.75135129143
91,136342.56025632122
92,137806.6369398745
93,139269.9817679475
94,140732.5951063527
95,142194.4773207193
96,143655.62877649316
97,145116.04983893686
98,146575.74087312995
99,148034.70224396887
100,149492.93431616723
101,150950.4374542557
102,152407.21202258236
103,153863.25838531248
104,155318.57690642896
105,156773.16794973216
106,158227.03187884015
107,159680.16905718873
108,161132.5798480316
109,162584.26461444033
110,164035.22371930457
111,165485.45752533223
112,166934.96639504927
113,168383.75069080017
114,169831.81077474775
115,171279.14700888388
116,172725.75975537967
117,174171.64937605945
118,175616.81623239064
119,177061.26068566024
120,178504.98309697496
121,179947.98382726134
122,181390.26323726584
123,182831.82168755482
124,184272.65953851503
125,185712.77715035315
126,187152.17488309642
127,188590.85309659236
128,190028.8121505092
129,191466.05240433564
130,192902.57421738125
131,194338.37794877635
132,195773.46395747236
133,197207.83260224163
134,198641.48424167774
135,200074.41923419555
136,201506.6379380312
137,202938.14071124245
138,204368.92791170848
139,205798.99989713033
140,207228.35702503065
141,208656.99965275414
142,210084.92813746736
143,211512.1428361591
144,212938.6441056402
145,214364.43230254398
146,215789.50778332603
147,217213.87090426454
148,218637.5220214603
149,220060.46149083675
150,221482.68966814032
