,0
0,0.0
1,2199.6377612338715
2,4398.175978496099
3,6595.615201421137
4,8791.955979369146
5,10987.198861425793
6,13181.344396401804
7,15374.393132833244
8,17566.345618981504
9,19757.202402833776
10,21946.964032106844
11,24135.631054241756
12,26323.20401640465
13,28509.683465487444
14,30695.069948107863
15,32879.36401061288
16,35062.566199079905
17,37244.677059309215
18,39425.697136827584
19,41605.62697688831
20,43784.46712447169
21,45962.218124291394
22,48138.88052078666
23,50314.45485812252
24,52488.94168019127
25,54662.34153061251
26,56834.65495273312
27,59005.88248964316
28,61176.024684143486
29,63345.0820787695
30,65513.0552157843
31,67679.94463718365
32,69845.75088480572
33,72010.47450015723
34,74174.11602442506
35,76336.67599852488
36,78498.15496310109
37,80658.55345852714
38,82817.87202490552
39,84976.11120206804
40,87133.27152957584
41,89289.35354671962
42,91444.35779251973
43,93598.28480572636
44,95751.13512481964
45,97902.90928800979
46,100053.60783323726
47,102203.23129817285
48,104351.78022021789
49,106499.25513650438
50,108645.65658389509
51,110790.98509898373
52,112935.24121809506
53,115078.42547728508
54,117220.53841234112
55,119361.58055878204
56,121501.55245185828
57,123640.45462655209
58,125778.28761757765
59,127915.0519593811
60,130050.7481861409
61,132185.37683176776
62,134318.93842990487
63,136451.43351392806
64,138582.86261694587
65,140713.22627179985
66,142842.52501106443
67,144970.75936704729
68,147097.9298717894
69,149224.0370570653
70,151349.08145438292
71,153473.06359498407
72,155595.9840098444
73,157717.84322967357
74,159838.64178491538
75,161958.38020574796
76,164077.05902208385
77,166194.6787635702
78,168311.2399595888
79,170426.74313925637
80,172541.1888314246
81,174654.5775646803
82,176766.90986734562
83,178878.186267478
84,180988.40729287063
85,183097.57347105216
86,185205.68532928728
87,187312.7433946801
88,189418.74819422653
89,191523.7002544343
90,193627.60010153786
91,195730.44826150883
92,197832.24526005622
93,199932.99162262678
94,202032.6878744047
95,204131.33454031224
96,206228.93214500946
97,208325.48121289475
98,210420.98226810468
99,212515.4358345142
100,214608.84243573708
101,216701.20259512553
102,218792.51683577092
103,220882.78568050344
104,222972.00965189261
105,225060.1892722472
106,227147.32506361546
107,229233.41754778533
108,231318.46724628445
109,233402.47468038046
110,235485.44037108103
111,237567.36483913404
112,239648.2486050278
113,241728.09218899102
114,243806.89611099323
115,245884.66089074468
116,247961.3870476966
117,250037.07510104135
118,252111.72556971252
119,254185.33897238513
120,256257.91582747578
121,258329.45665314276
122,260399.96196728616
123,262469.43228754814
124,264537.86813131307
125,266605.2700157075
